店,日付,時間,レシート,顧客,商品,大分類,中分類,小分類,細分類,メーカー,ブランド,仕入単価,単価,数量,金額,仕入金額,粗利金額,年月
C,20010401,161508,1000112,00163C,0000416,1,11,1107,110721,0023,002300,299,389,1,389,299,90,20014
D,20010401,161508,1000121,00163D,0000212,1,14,1406,140663,1043,104301,514,669,1,669,514,155,20014
A,20010401,161508,1000128,00163A,0000406,1,11,1106,110603,1789,178902,485,631,1,631,485,146,20014
B,20010401,161508,1000136,00163B,0000416,1,11,1107,110721,0023,002300,299,389,1,389,299,90,20014
C,20010401,161508,1000112,00163C,0000201,1,14,1403,140317,0550,055004,282,367,1,367,282,85,20014
D,20010401,161508,1000121,00163D,0000406,1,11,1106,110603,1789,178902,485,631,1,631,485,146,20014
A,20010401,161508,1000128,00163A,0000307,1,14,1403,140305,0788,078801,273,355,1,355,273,82,20014
B,20010401,161508,1000136,00163B,0000080,1,14,1406,140671,1354,135401,315,410,1,410,315,95,20014
C,20010401,161508,1000112,00163C,0000406,1,11,1106,110603,1789,178902,485,631,1,631,485,146,20014
D,20010401,161508,1000121,00163D,0000201,1,14,1403,140317,0550,055004,282,367,6,2202,1692,510,20014
A,20010401,161508,1000128,00163A,0000416,1,11,1107,110721,0023,002300,299,389,3,1167,897,270,20014
B,20010401,161508,1000136,00163B,0000501,1,11,1108,110802,0876,087602,333,433,1,433,333,100,20014
C,20010401,161508,1000112,00163C,0000307,1,14,1403,140305,0788,078801,273,355,1,355,273,82,20014
D,20010401,161508,1000121,00163D,0000501,1,11,1108,110802,0876,087602,333,433,1,433,333,100,20014
A,20010401,161508,1000128,00163A,0000212,1,14,1406,140663,1043,104301,514,669,1,669,514,155,20014
B,20010401,161508,1000136,00163B,0000307,1,14,1403,140305,0788,078801,273,355,1,355,273,82,20014
C,20010401,161508,1000112,00163C,0000501,1,11,1108,110802,0876,087602,333,433,5,2165,1665,500,20014
D,20010401,161508,1000121,00163D,0000307,1,14,1403,140305,0788,078801,273,355,1,355,273,82,20014
A,20010401,161508,1000128,00163A,0000501,1,11,1108,110802,0876,087602,333,522,1,522,333,189,20014
B,20010401,161508,1000136,00163B,0000406,1,11,1106,110603,1789,178902,485,631,1,631,485,146,20014
C,20010401,161508,1000112,00163C,0000212,1,14,1406,140663,1043,104301,514,669,5,3345,2570,775,20014
D,20010401,161508,1000121,00163D,0000416,1,11,1107,110721,0023,002300,299,389,1,389,299,90,20014
A,20010401,161508,1000128,00163A,0000080,1,14,1406,140671,1354,135401,315,410,1,410,315,95,20014
B,20010401,161508,1000136,00163B,0000201,1,14,1403,140317,0550,055004,282,367,4,1468,1128,340,20014
C,20010401,161508,1000112,00163C,0000080,1,14,1406,140671,1354,135401,315,410,1,410,315,95,20014
D,20010401,161508,1000121,00163D,0000080,1,14,1406,140671,1354,135401,315,410,1,410,315,95,20014
A,20010401,161508,1000128,00163A,0000201,1,14,1403,140317,0550,055004,282,367,6,2202,1692,510,20014
B,20010401,161508,1000136,00163B,0000212,1,14,1406,140663,1043,104301,514,669,1,669,514,155,20014
C,20010402,110850,1000113,00159C,0000213,1,11,1118,111805,0823,082303,410,533,1,533,410,123,20014
D,20010402,110850,1000122,00159D,0000598,1,14,1406,140621,1747,174700,206,381,5,1905,1030,875,20014
A,20010402,110850,1000129,00159A,0000460,1,14,1406,140661,0597,059700,101,132,1,132,101,31,20014
B,20010402,110850,1000137,00159B,0000213,1,11,1118,111805,0823,082303,410,533,1,533,410,123,20014
C,20010402,110850,1000113,00159C,0000441,1,11,1110,111007,0713,071300,296,385,5,1925,1480,445,20014
D,20010402,110850,1000122,00159D,0000460,1,14,1406,140661,0597,059700,101,132,1,132,101,31,20014
A,20010402,110850,1000129,00159A,0000213,1,11,1118,111805,0823,082303,410,533,1,533,410,123,20014
B,20010402,110850,1000137,00159B,0000417,1,11,1107,110703,0442,044204,395,514,6,3084,2370,714,20014
C,20010402,110850,1000113,00159C,0000598,1,14,1406,140621,1747,174700,206,268,1,268,206,62,20014
D,20010402,112710,1000123,00234D,0000438,1,14,1403,140309,1100,110001,208,271,4,1084,832,252,20014
A,20010402,110850,1000129,00159A,0000598,1,14,1406,140621,1747,174700,206,268,1,268,206,62,20014
B,20010402,112710,1000138,00234B,0000462,1,14,1406,140681,1674,167405,231,301,1,301,231,70,20014
C,20010402,110850,1000113,00159C,0000417,1,11,1107,110703,0442,044204,395,514,1,514,395,119,20014
D,20010402,110850,1000122,00159D,0000213,1,11,1118,111805,0823,082303,410,533,1,533,410,123,20014
A,20010402,110850,1000129,00159A,0000417,1,11,1107,110703,0442,044204,395,514,1,514,395,119,20014
B,20010402,110850,1000137,00159B,0000441,1,11,1110,111007,0713,071300,296,385,5,1925,1480,445,20014
C,20010402,112710,1000114,00234C,0000326,1,11,1106,110601,1340,134000,416,541,1,541,416,125,20014
D,20010402,112710,1000123,00234D,0000419,1,11,1112,111211,0736,073600,296,385,1,385,296,89,20014
A,20010402,110850,1000129,00159A,0000441,1,11,1110,111007,0713,071300,296,385,5,1925,1480,445,20014
B,20010402,110850,1000137,00159B,0000460,1,14,1406,140661,0597,059700,101,132,1,132,101,31,20014
C,20010402,112710,1000114,00234C,0000483,1,14,1403,140305,0369,036900,257,335,1,335,257,78,20014
D,20010402,110850,1000122,00159D,0000417,1,11,1107,110703,0442,044204,395,514,1,514,395,119,20014
A,20010402,112710,1000130,00234A,0000058,1,11,1101,110121,0712,071200,279,363,2,726,558,168,20014
B,20010402,112710,1000138,00234B,0000326,1,11,1106,110601,1340,134000,416,646,1,646,416,230,20014
C,20010402,112710,1000114,00234C,0000530,1,11,1111,111101,0104,010401,253,329,1,329,253,76,20014
D,20010402,112710,1000123,00234D,0000530,1,11,1111,111101,0104,010401,253,329,6,1974,1518,456,20014
A,20010402,112710,1000130,00234A,0000438,1,14,1403,140309,1100,110001,208,271,1,271,208,63,20014
B,20010402,112710,1000138,00234B,0000438,1,14,1403,140309,1100,110001,208,317,1,317,208,109,20014
C,20010402,112710,1000114,00234C,0000419,1,11,1112,111211,0736,073600,296,488,2,976,592,384,20014
D,20010402,112710,1000123,00234D,0000462,1,14,1406,140681,1674,167405,231,301,1,301,231,70,20014
A,20010402,112710,1000130,00234A,0000326,1,11,1106,110601,1340,134000,416,541,1,541,416,125,20014
B,20010402,112710,1000138,00234B,0000058,1,11,1101,110121,0712,071200,279,363,1,363,279,84,20014
C,20010402,112710,1000114,00234C,0000462,1,14,1406,140681,1674,167405,231,381,1,381,231,150,20014
D,20010402,112710,1000123,00234D,0000483,1,14,1403,140305,0369,036900,257,335,1,335,257,78,20014
A,20010402,112710,1000130,00234A,0000462,1,14,1406,140681,1674,167405,231,301,1,301,231,70,20014
B,20010402,112710,1000138,00234B,0000530,1,11,1111,111101,0104,010401,253,329,1,329,253,76,20014
C,20010402,112710,1000114,00234C,0000438,1,14,1403,140309,1100,110001,208,329,1,329,208,121,20014
D,20010402,112710,1000123,00234D,0000326,1,11,1106,110601,1340,134000,416,541,1,541,416,125,20014
A,20010402,112710,1000130,00234A,0000530,1,11,1111,111101,0104,010401,253,329,1,329,253,76,20014
B,20010402,112710,1000138,00234B,0000419,1,11,1112,111211,0736,073600,296,385,1,385,296,89,20014
C,20010402,112710,1000114,00234C,0000058,1,11,1101,110121,0712,071200,279,363,1,363,279,84,20014
D,20010402,110850,1000122,00159D,0000441,1,11,1110,111007,0713,071300,296,616,5,3080,1480,1600,20014
A,20010402,112710,1000130,00234A,0000419,1,11,1112,111211,0736,073600,296,385,5,1925,1480,445,20014
B,20010402,110850,1000137,00159B,0000598,1,14,1406,140621,1747,174700,206,268,1,268,206,62,20014
C,20010402,110850,1000113,00159C,0000460,1,14,1406,140661,0597,059700,101,132,1,132,101,31,20014
D,20010402,112710,1000123,00234D,0000058,1,11,1101,110121,0712,071200,279,363,1,363,279,84,20014
A,20010402,112710,1000130,00234A,0000483,1,14,1403,140305,0369,036900,257,335,1,335,257,78,20014
B,20010402,112710,1000138,00234B,0000483,1,14,1403,140305,0369,036900,257,490,1,490,257,233,20014
C,20010404,114827,1000115,00097C,0000452,1,11,1108,110802,0506,050602,235,318,4,1272,940,332,20014
D,20010404,114827,1000124,00097D,0000227,1,11,1115,111509,0752,075203,274,357,6,2142,1644,498,20014
A,20010404,114827,1000131,00097A,0000355,1,14,1403,140309,0585,058501,336,437,2,874,672,202,20014
B,20010404,114827,1000139,00097B,0000452,1,11,1108,110802,0506,050602,235,359,6,2154,1410,744,20014
C,20010404,114827,1000115,00097C,0000418,1,11,1105,110501,1844,184400,197,257,4,1028,788,240,20014
D,20010404,114827,1000124,00097D,0000452,1,11,1108,110802,0506,050602,235,306,4,1224,940,284,20014
A,20010404,114827,1000131,00097A,0000452,1,11,1108,110802,0506,050602,235,384,1,384,235,149,20014
B,20010404,172851,1000141,00222B,0000120,1,11,1197,119701,1924,192404,327,426,2,852,654,198,20014
C,20010404,114827,1000115,00097C,0000462,1,14,1406,140681,1674,167405,231,381,1,381,231,150,20014
D,20010404,114827,1000124,00097D,0000273,1,11,1113,111301,1850,185002,134,175,5,875,670,205,20014
A,20010404,114827,1000131,00097A,0000227,1,11,1115,111509,0752,075203,274,425,1,425,274,151,20014
B,20010404,114827,1000139,00097B,0000273,1,11,1113,111301,1850,185002,134,175,1,175,134,41,20014
C,20010404,114827,1000115,00097C,0000273,1,11,1113,111301,1850,185002,134,175,5,875,670,205,20014
D,20010404,114827,1000124,00097D,0000418,1,11,1105,110501,1844,184400,197,257,1,257,197,60,20014
A,20010404,114827,1000131,00097A,0000461,1,14,1406,140671,0894,089401,381,496,5,2480,1905,575,20014
B,20010404,114827,1000139,00097B,0000418,1,11,1105,110501,1844,184400,197,257,1,257,197,60,20014
C,20010404,114827,1000115,00097C,0000461,1,14,1406,140671,0894,089401,381,496,6,2976,2286,690,20014
D,20010404,114827,1000124,00097D,0000461,1,14,1406,140671,0894,089401,381,615,1,615,381,234,20014
A,20010404,114827,1000131,00097A,0000273,1,11,1113,111301,1850,185002,134,175,1,175,134,41,20014
B,20010404,114827,1000139,00097B,0000355,1,14,1403,140309,0585,058501,336,550,3,1650,1008,642,20014
C,20010404,172851,1000117,00222C,0000507,1,11,1102,110297,1145,114501,252,328,1,328,252,76,20014
D,20010404,122605,1000127,00225D,0000479,1,13,1301,130127,1293,129301,188,245,1,245,188,57,20014
A,20010404,114827,1000131,00097A,0000418,1,11,1105,110501,1844,184400,197,257,1,257,197,60,20014
B,20010404,114827,1000139,00097B,0000462,1,14,1406,140681,1674,167405,231,350,1,350,231,119,20014
C,20010404,122605,1000118,00225C,0000479,1,13,1301,130127,1293,129301,188,245,1,245,188,57,20014
D,20010404,143329,1000125,00104D,0000311,1,11,1116,111603,1776,177601,339,441,1,441,339,102,20014
A,20010404,114827,1000131,00097A,0000462,1,14,1406,140681,1674,167405,231,301,1,301,231,70,20014
B,20010404,114827,1000139,00097B,0000461,1,14,1406,140671,0894,089401,381,496,1,496,381,115,20014
C,20010404,143329,1000116,00104C,0000311,1,11,1116,111603,1776,177601,339,441,1,441,339,102,20014
D,20010404,143329,1000125,00104D,0000443,1,13,1301,130121,1886,188600,395,514,1,514,395,119,20014
A,20010404,122605,1000134,00225A,0000479,1,13,1301,130127,1293,129301,188,245,5,1225,940,285,20014
B,20010404,122605,1000142,00225B,0000479,1,13,1301,130127,1293,129301,188,397,5,1985,940,1045,20014
C,20010404,143329,1000116,00104C,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100,20014
D,20010404,143329,1000125,00104D,0000234,1,14,1406,140601,0099,009902,328,427,1,427,328,99,20014
A,20010404,143329,1000132,00104A,0000255,1,14,1406,140621,1894,189400,256,333,1,333,256,77,20014
B,20010404,143329,1000140,00104B,0000234,1,14,1406,140601,0099,009902,328,427,1,427,328,99,20014
C,20010404,143329,1000116,00104C,0000255,1,14,1406,140621,1894,189400,256,333,1,333,256,77,20014
D,20010404,143329,1000125,00104D,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100,20014
A,20010404,143329,1000132,00104A,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100,20014
B,20010404,143329,1000140,00104B,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100,20014
C,20010404,143329,1000116,00104C,0000443,1,13,1301,130121,1886,188600,395,514,1,514,395,119,20014
D,20010404,143329,1000125,00104D,0000255,1,14,1406,140621,1894,189400,256,333,5,1665,1280,385,20014
A,20010404,143329,1000132,00104A,0000234,1,14,1406,140601,0099,009902,328,427,5,2135,1640,495,20014
B,20010404,143329,1000140,00104B,0000311,1,11,1116,111603,1776,177601,339,441,1,441,339,102,20014
C,20010404,143329,1000116,00104C,0000234,1,14,1406,140601,0099,009902,328,427,1,427,328,99,20014
D,20010404,114827,1000124,00097D,0000355,1,14,1403,140309,0585,058501,336,566,1,566,336,230,20014
A,20010404,143329,1000132,00104A,0000443,1,13,1301,130121,1886,188600,395,514,5,2570,1975,595,20014
B,20010404,143329,1000140,00104B,0000443,1,13,1301,130121,1886,188600,395,671,1,671,395,276,20014
C,20010404,172851,1000117,00222C,0000645,1,11,1118,111897,0002,000202,205,267,5,1335,1025,310,20014
D,20010404,172851,1000126,00222D,0000344,1,11,1104,110411,0370,037000,189,246,1,246,189,57,20014
A,20010404,143329,1000132,00104A,0000311,1,11,1116,111603,1776,177601,339,441,6,2646,2034,612,20014
