店,日付,時間,レシート,顧客,商品,大分類,中分類,小分類,細分類,メーカー,ブランド,仕入単価,単価,数量,金額,仕入金額,粗利金額,年月
C,20010701,113138,1000368,00126C,0000443,1,13,1301,130121,1886,188600,395,514,1,514,395,119,20017
D,20010701,155737,1000382,00118D,0000334,1,11,1107,110797,1480,148000,299,389,5,1945,1495,450,20017
A,20010701,113138,1000404,00126A,0000443,1,13,1301,130121,1886,188600,395,608,6,3648,2370,1278,20017
B,20010701,155737,1000440,00118B,0000537,1,13,1301,130135,0596,059601,298,607,1,607,298,309,20017
C,20010701,113138,1000368,00126C,0000470,1,11,1119,111909,0062,006201,274,526,6,3156,1644,1512,20017
D,20010701,113138,1000383,00126D,0000470,1,11,1119,111909,0062,006201,274,357,5,1785,1370,415,20017
A,20010701,113138,1000404,00126A,0000470,1,11,1119,111909,0062,006201,274,508,1,508,274,234,20017
B,20010701,200038,1000444,00272B,0000070,1,14,1402,140201,0598,059801,271,353,1,353,271,82,20017
C,20010701,115823,1000370,00164C,0000287,1,14,1401,140197,1925,192500,148,235,6,1410,888,522,20017
D,20010701,115823,1000385,00164D,0000287,1,14,1401,140197,1925,192500,148,193,1,193,148,45,20017
A,20010701,115823,1000406,00164A,0000287,1,14,1401,140197,1925,192500,148,274,1,274,148,126,20017
B,20010701,155737,1000440,00118B,0000569,1,13,1301,130123,1382,138203,502,841,4,3364,2008,1356,20017
C,20010701,115823,1000370,00164C,0000377,1,11,1105,110511,0302,030201,571,743,1,743,571,172,20017
D,20010701,115823,1000385,00164D,0000549,1,11,1101,110119,1994,199404,330,429,1,429,330,99,20017
A,20010701,115823,1000406,00164A,0000558,1,13,1301,130198,1839,183902,312,813,1,813,312,501,20017
B,20010701,140012,1000438,00094B,0000432,1,11,1105,110509,1258,125804,331,522,1,522,331,191,20017
C,20010701,182651,1000366,00108C,0000444,1,11,1116,111603,0315,031501,419,545,3,1635,1257,378,20017
D,20010701,115823,1000385,00164D,0000280,1,14,1403,140316,0175,017501,253,329,1,329,253,76,20017
A,20010701,115823,1000406,00164A,0000377,1,11,1105,110511,0302,030201,571,743,1,743,571,172,20017
B,20010701,140012,1000438,00094B,0000571,1,11,1103,110303,1158,115804,171,223,1,223,171,52,20017
C,20010701,115823,1000370,00164C,0000549,1,11,1101,110119,1994,199404,330,429,1,429,330,99,20017
D,20010701,115823,1000385,00164D,0000558,1,13,1301,130198,1839,183902,312,720,1,720,312,408,20017
A,20010701,115823,1000406,00164A,0000549,1,11,1101,110119,1994,199404,330,614,6,3684,1980,1704,20017
B,20010701,140012,1000438,00094B,0000336,1,11,1111,111101,1496,149602,393,622,6,3732,2358,1374,20017
C,20010701,115823,1000370,00164C,0000304,1,11,1107,110707,1487,148704,343,446,1,446,343,103,20017
D,20010701,115823,1000385,00164D,0000304,1,11,1107,110707,1487,148704,343,446,1,446,343,103,20017
A,20010701,115823,1000406,00164A,0000280,1,14,1403,140316,0175,017501,253,399,1,399,253,146,20017
B,20010701,140012,1000438,00094B,0000509,1,13,1301,130125,1301,130103,445,844,1,844,445,399,20017
C,20010701,115823,1000370,00164C,0000558,1,13,1301,130198,1839,183902,312,542,5,2710,1560,1150,20017
D,20010701,115823,1000385,00164D,0000377,1,11,1105,110511,0302,030201,571,743,5,3715,2855,860,20017
A,20010701,115823,1000406,00164A,0000304,1,11,1107,110707,1487,148704,343,1334,1,1334,343,991,20017
B,20010701,140012,1000438,00094B,0000580,1,14,1403,140315,1613,161302,420,546,6,3276,2520,756,20017
C,20010701,140012,1000365,00094C,0000336,1,11,1111,111101,1496,149602,393,669,1,669,393,276,20017
D,20010701,140012,1000380,00094D,0000580,1,14,1403,140315,1613,161302,420,546,1,546,420,126,20017
A,20010701,140012,1000401,00094A,0000571,1,11,1103,110303,1158,115804,171,223,1,223,171,52,20017
B,20010701,115823,1000443,00164B,0000280,1,14,1403,140316,0175,017501,253,405,1,405,253,152,20017
C,20010701,140012,1000365,00094C,0000580,1,14,1403,140315,1613,161302,420,546,1,546,420,126,20017
D,20010701,140012,1000380,00094D,0000336,1,11,1111,111101,1496,149602,393,511,1,511,393,118,20017
A,20010701,140012,1000401,00094A,0000336,1,11,1111,111101,1496,149602,393,720,3,2160,1179,981,20017
B,20010701,115823,1000443,00164B,0000287,1,14,1401,140197,1925,192500,148,193,1,193,148,45,20017
C,20010701,140012,1000365,00094C,0000571,1,11,1103,110303,1158,115804,171,263,1,263,171,92,20017
D,20010701,140012,1000380,00094D,0000571,1,11,1103,110303,1158,115804,171,223,1,223,171,52,20017
A,20010701,140012,1000401,00094A,0000580,1,14,1403,140315,1613,161302,420,546,4,2184,1680,504,20017
B,20010701,115823,1000443,00164B,0000549,1,11,1101,110119,1994,199404,330,429,6,2574,1980,594,20017
C,20010701,140012,1000365,00094C,0000509,1,13,1301,130125,1301,130103,445,579,1,579,445,134,20017
D,20010701,140012,1000380,00094D,0000509,1,13,1301,130125,1301,130103,445,701,1,701,445,256,20017
A,20010701,140012,1000401,00094A,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100,20017
B,20010701,115823,1000443,00164B,0000304,1,11,1107,110707,1487,148704,343,446,5,2230,1715,515,20017
C,20010701,140012,1000365,00094C,0000432,1,11,1105,110509,1258,125804,331,486,1,486,331,155,20017
D,20010701,140012,1000380,00094D,0000432,1,11,1105,110509,1258,125804,331,519,1,519,331,188,20017
A,20010701,140012,1000401,00094A,0000509,1,13,1301,130125,1301,130103,445,579,1,579,445,134,20017
B,20010701,115823,1000443,00164B,0000558,1,13,1301,130198,1839,183902,312,630,1,630,312,318,20017
C,20010701,142019,1000369,00132C,0000228,1,14,1402,140205,0749,074904,325,741,1,741,325,416,20017
D,20010701,142019,1000384,00132D,0000295,1,14,1497,149797,1570,157000,171,339,4,1356,684,672,20017
A,20010701,142019,1000405,00132A,0000228,1,14,1402,140205,0749,074904,325,423,1,423,325,98,20017
B,20010701,115823,1000443,00164B,0000377,1,11,1105,110511,0302,030201,571,1011,1,1011,571,440,20017
C,20010701,142019,1000369,00132C,0000295,1,14,1497,149797,1570,157000,171,223,6,1338,1026,312,20017
D,20010701,142019,1000384,00132D,0000228,1,14,1402,140205,0749,074904,325,423,1,423,325,98,20017
A,20010701,142019,1000405,00132A,0000295,1,14,1497,149797,1570,157000,171,264,1,264,171,93,20017
B,20010701,142019,1000442,00132B,0000295,1,14,1497,149797,1570,157000,171,223,5,1115,855,260,20017
C,20010701,155737,1000367,00118C,0000555,1,11,1119,111997,1558,155803,93,163,1,163,93,70,20017
D,20010701,155737,1000382,00118D,0000569,1,13,1301,130123,1382,138203,502,653,1,653,502,151,20017
A,20010701,155737,1000403,00118A,0000537,1,13,1301,130135,0596,059601,298,388,6,2328,1788,540,20017
B,20010701,113138,1000441,00126B,0000470,1,11,1119,111909,0062,006201,274,357,1,357,274,83,20017
C,20010701,155737,1000367,00118C,0000342,1,14,1401,140115,0147,014700,332,432,1,432,332,100,20017
D,20010701,182651,1000381,00108D,0000677,1,11,1115,111507,0854,085404,162,211,4,844,648,196,20017
A,20010701,155737,1000403,00118A,0000342,1,14,1401,140115,0147,014700,332,432,1,432,332,100,20017
B,20010701,113138,1000441,00126B,0000443,1,13,1301,130121,1886,188600,395,827,1,827,395,432,20017
C,20010701,155737,1000367,00118C,0000569,1,13,1301,130123,1382,138203,502,653,5,3265,2510,755,20017
D,20010701,155737,1000382,00118D,0000554,1,11,1108,110807,1716,171603,250,325,1,325,250,75,20017
A,20010701,155737,1000403,00118A,0000555,1,11,1119,111997,1558,155803,93,121,1,121,93,28,20017
B,20010701,155737,1000440,00118B,0000555,1,11,1119,111997,1558,155803,93,209,1,209,93,116,20017
C,20010701,182651,1000366,00108C,0000523,1,13,1301,130139,0120,012000,392,510,1,510,392,118,20017
D,20010701,155737,1000382,00118D,0000342,1,14,1401,140115,0147,014700,332,432,1,432,332,100,20017
A,20010701,155737,1000403,00118A,0000334,1,11,1107,110797,1480,148000,299,389,1,389,299,90,20017
B,20010701,155737,1000440,00118B,0000334,1,11,1107,110797,1480,148000,299,389,1,389,299,90,20017
C,20010701,155737,1000367,00118C,0000554,1,11,1108,110807,1716,171603,250,325,5,1625,1250,375,20017
D,20010701,155737,1000382,00118D,0000411,1,14,1406,140681,1053,105301,383,543,6,3258,2298,960,20017
A,20010701,155737,1000403,00118A,0000411,1,14,1406,140681,1053,105301,383,590,1,590,383,207,20017
B,20010701,155737,1000440,00118B,0000411,1,14,1406,140681,1053,105301,383,823,5,4115,1915,2200,20017
C,20010701,155737,1000367,00118C,0000411,1,14,1406,140681,1053,105301,383,784,5,3920,1915,2005,20017
D,20010701,155737,1000382,00118D,0000555,1,11,1119,111997,1558,155803,93,121,1,121,93,28,20017
A,20010701,155737,1000403,00118A,0000569,1,13,1301,130123,1382,138203,502,653,5,3265,2510,755,20017
B,20010701,155737,1000440,00118B,0000554,1,11,1108,110807,1716,171603,250,325,4,1300,1000,300,20017
C,20010701,155737,1000367,00118C,0000537,1,13,1301,130135,0596,059601,298,546,1,546,298,248,20017
D,20010701,155737,1000382,00118D,0000537,1,13,1301,130135,0596,059601,298,468,5,2340,1490,850,20017
A,20010701,155737,1000403,00118A,0000554,1,11,1108,110807,1716,171603,250,325,1,325,250,75,20017
