shop,date,time,receipt,customer,product,CategoryCode1,CategoryCode2,CategoryCode4,CategoryCode6,manufacturer,brand,unitCost,unitPrice,quantity,amount,costAmount,profit,YearMonth
C,20010501,193056,1000184,00222C,0000413,1,11,1104,110403,0353,035306,286,372,1,372,286,86,20015
D,20010501,193056,1000196,00222D,0000411,1,14,1406,140681,1053,105301,383,543,1,543,383,160,20015
A,20010501,124448,1000204,00012A,0000219,1,13,1304,130403,1537,153702,378,492,3,1476,1134,342,20015
B,20010501,124448,1000217,00012B,0000637,1,11,1101,110101,1126,112600,170,221,1,221,170,51,20015
C,20010501,124448,1000181,00012C,0000349,1,13,1301,130198,1017,101703,247,322,5,1610,1235,375,20015
D,20010501,193056,1000196,00222D,0000249,1,11,1103,110397,0393,039303,412,536,1,536,412,124,20015
A,20010501,124448,1000204,00012A,0000532,1,13,1301,130121,1482,148204,202,316,1,316,202,114,20015
B,20010501,124448,1000217,00012B,0000204,1,14,1403,140325,1196,119601,344,448,1,448,344,104,20015
C,20010501,124448,1000181,00012C,0000525,1,11,1101,110105,0956,095603,140,182,1,182,140,42,20015
D,20010501,124448,1000193,00012D,0000389,1,13,1302,130297,0712,071201,379,493,1,493,379,114,20015
A,20010501,124448,1000204,00012A,0000389,1,13,1302,130297,0712,071201,379,493,1,493,379,114,20015
B,20010501,124448,1000217,00012B,0000389,1,13,1302,130297,0712,071201,379,493,6,2958,2274,684,20015
C,20010501,124448,1000181,00012C,0000204,1,14,1403,140325,1196,119601,344,448,5,2240,1720,520,20015
D,20010501,124448,1000193,00012D,0000637,1,11,1101,110101,1126,112600,170,269,1,269,170,99,20015
A,20010501,124448,1000204,00012A,0000525,1,11,1101,110105,0956,095603,140,182,1,182,140,42,20015
B,20010501,124448,1000217,00012B,0000219,1,13,1304,130403,1537,153702,378,492,6,2952,2268,684,20015
C,20010501,124448,1000181,00012C,0000389,1,13,1302,130297,0712,071201,379,493,5,2465,1895,570,20015
D,20010501,124448,1000193,00012D,0000204,1,14,1403,140325,1196,119601,344,448,1,448,344,104,20015
A,20010501,124448,1000204,00012A,0000349,1,13,1301,130198,1017,101703,247,322,1,322,247,75,20015
B,20010501,124448,1000217,00012B,0000525,1,11,1101,110105,0956,095603,140,182,1,182,140,42,20015
C,20010501,124448,1000181,00012C,0000219,1,13,1304,130403,1537,153702,378,492,1,492,378,114,20015
D,20010501,124448,1000193,00012D,0000532,1,13,1301,130121,1482,148204,202,263,1,263,202,61,20015
A,20010501,124448,1000204,00012A,0000637,1,11,1101,110101,1126,112600,170,221,1,221,170,51,20015
B,20010501,124448,1000217,00012B,0000349,1,13,1301,130198,1017,101703,247,322,1,322,247,75,20015
