shop,date,time,receipt,customer,product,CategoryCode1,CategoryCode2,CategoryCode4,CategoryCode6,manufacturer,brand,unitCost,unitPrice,quantity,amount,costAmount,profit,YearMonth
C,20011201,145928,1000899,00105C,0000746,1,11,1116,111607,1404,140402,313,407,1,407,313,94,200112
A,20011201,093854,1000993,00263A,0000345,1,11,1121,112105,0188,018800,343,2568,1,2568,343,2225,200112
D,20011201,145928,1000928,00105D,0000746,1,11,1116,111607,1404,140402,313,476,1,476,313,163,200112
C,20011201,145928,1000899,00105C,0000506,1,13,1301,130129,0854,085400,246,473,1,473,246,227,200112
A,20011201,093854,1000993,00263A,0000523,1,13,1301,130139,0120,012000,392,585,1,585,392,193,200112
D,20011201,145928,1000928,00105D,0000391,1,11,1111,111111,0052,005200,191,340,1,340,191,149,200112
C,20011201,145928,1000899,00105C,0000618,1,11,1105,110501,0679,067905,528,687,1,687,528,159,200112
A,20011201,093854,1000993,00263A,0000340,1,14,1403,140317,0302,030202,318,583,1,583,318,265,200112
D,20011201,145928,1000928,00105D,0000549,1,11,1101,110119,1994,199404,330,727,4,2908,1320,1588,200112
C,20011201,145928,1000899,00105C,0000575,1,11,1105,110501,0300,030002,378,492,1,492,378,114,200112
A,20011201,093854,1000993,00263A,0000520,1,14,1401,140103,0604,060401,388,594,1,594,388,206,200112
D,20011201,145928,1000928,00105D,0000506,1,13,1301,130129,0854,085400,246,388,1,388,246,142,200112
C,20011201,145928,1000899,00105C,0000391,1,11,1111,111111,0052,005200,191,437,1,437,191,246,200112
A,20011201,093854,1000993,00263A,0000367,1,11,1106,110697,0048,004803,292,380,1,380,292,88,200112
D,20011201,145928,1000928,00105D,0000544,1,14,1404,140403,1717,171700,438,794,1,794,438,356,200112
C,20011201,145928,1000899,00105C,0000405,1,13,1301,130123,1310,131000,408,816,5,4080,2040,2040,200112
A,20011201,093854,1000993,00263A,0000498,1,11,1119,111903,0463,046307,192,567,1,567,192,375,200112
D,20011201,145928,1000928,00105D,0000618,1,11,1105,110501,0679,067905,528,745,1,745,528,217,200112
C,20011201,145928,1000899,00105C,0000549,1,11,1101,110119,1994,199404,330,429,1,429,330,99,200112
A,20011201,145928,1000991,00105A,0000746,1,11,1116,111607,1404,140402,313,407,1,407,313,94,200112
D,20011201,145928,1000928,00105D,0000405,1,13,1301,130123,1310,131000,408,628,6,3768,2448,1320,200112
