shop,date,time,receipt,customer,product,CategoryCode1,CategoryCode2,CategoryCode4,CategoryCode6,manufacturer,brand,unitCost,unitPrice,quantity,amount,costAmount,profit,YearMonth
B,20010901,135350,1000742,00173B,0000266,1,11,1104,110407,1862,186200,334,479,1,479,334,145,20019
D,20010901,135350,1000629,00173D,0000266,1,11,1104,110407,1862,186200,334,435,1,435,334,101,20019
A,20010901,135350,1000671,00173A,0000266,1,11,1104,110407,1862,186200,334,490,6,2940,2004,936,20019
C,20010901,135350,1000607,00173C,0000266,1,11,1104,110407,1862,186200,334,678,1,678,334,344,20019
B,20010902,095928,1000743,00118B,0000580,1,14,1403,140315,1613,161302,420,546,2,1092,840,252,20019
A,20010902,095928,1000672,00118A,0000581,1,13,1303,130301,0586,058602,281,522,1,522,281,241,20019
C,20010902,095928,1000608,00118C,0000373,1,11,1118,111897,1341,134100,91,142,1,142,91,51,20019
B,20010902,095928,1000743,00118B,0000534,1,11,1104,110415,1226,122600,374,663,1,663,374,289,20019
A,20010902,095928,1000672,00118A,0000373,1,11,1118,111897,1341,134100,91,147,1,147,91,56,20019
C,20010902,095928,1000608,00118C,0000119,1,13,1304,130401,0303,030302,334,435,1,435,334,101,20019
B,20010902,095928,1000743,00118B,0000119,1,13,1304,130401,0303,030302,334,435,1,435,334,101,20019
A,20010902,095928,1000672,00118A,0000580,1,14,1403,140315,1613,161302,420,546,4,2184,1680,504,20019
C,20010902,095928,1000608,00118C,0000581,1,13,1303,130301,0586,058602,281,481,6,2886,1686,1200,20019
B,20010902,095928,1000743,00118B,0000581,1,13,1303,130301,0586,058602,281,372,1,372,281,91,20019
A,20010902,095928,1000672,00118A,0000119,1,13,1304,130401,0303,030302,334,435,1,435,334,101,20019
C,20010902,095928,1000608,00118C,0000179,1,14,1403,140309,1551,155101,351,702,7,4914,2457,2457,20019
B,20010902,095928,1000743,00118B,0000179,1,14,1403,140309,1551,155101,351,522,1,522,351,171,20019
A,20010902,095928,1000672,00118A,0000534,1,11,1104,110415,1226,122600,374,527,1,527,374,153,20019
C,20010902,095928,1000608,00118C,0000534,1,11,1104,110415,1226,122600,374,572,1,572,374,198,20019
B,20010902,095928,1000743,00118B,0000373,1,11,1118,111897,1341,134100,91,231,1,231,91,140,20019
A,20010902,095928,1000672,00118A,0000179,1,14,1403,140309,1551,155101,351,742,1,742,351,391,20019
C,20010902,095928,1000608,00118C,0000580,1,14,1403,140315,1613,161302,420,546,1,546,420,126,20019
B,20010902,142953,1000744,00242B,0000306,1,13,1301,130135,0536,053604,288,649,2,1298,576,722,20019
A,20010902,142953,1000673,00242A,0000306,1,13,1301,130135,0536,053604,288,375,1,375,288,87,20019
C,20010902,142953,1000609,00242C,0000306,1,13,1301,130135,0536,053604,288,488,1,488,288,200,20019
D,20010902,095928,1000630,00118D,0000534,1,11,1104,110415,1226,122600,374,779,1,779,374,405,20019
D,20010902,095928,1000630,00118D,0000119,1,13,1304,130401,0303,030302,334,435,1,435,334,101,20019
D,20010902,095928,1000630,00118D,0000581,1,13,1303,130301,0586,058602,281,366,1,366,281,85,20019
D,20010902,095928,1000630,00118D,0000179,1,14,1403,140309,1551,155101,351,457,1,457,351,106,20019
D,20010902,095928,1000630,00118D,0000580,1,14,1403,140315,1613,161302,420,546,6,3276,2520,756,20019
D,20010902,095928,1000630,00118D,0000373,1,11,1118,111897,1341,134100,91,119,1,119,91,28,20019
D,20010902,142953,1000631,00242D,0000306,1,13,1301,130135,0536,053604,288,458,6,2748,1728,1020,20019
