shop,date,time,receipt,customer,product,CategoryCode1,CategoryCode2,CategoryCode4,CategoryCode6,manufacturer,brand,unitCost,unitPrice,quantity,amount,costAmount,profit,YearMonth
D,20011001,125342,1000730,00044D,0000270,1,11,1115,111507,0605,060502,238,310,1,310,238,72,200110
A,20011001,125342,1000776,00044A,0000523,1,13,1301,130139,0120,012000,392,585,1,585,392,193,200110
C,20011001,125342,1000707,00044C,0000270,1,11,1115,111507,0605,060502,238,379,1,379,238,141,200110
D,20011001,125342,1000730,00044D,0000488,1,11,1119,111905,1644,164402,358,695,1,695,358,337,200110
A,20011001,125342,1000776,00044A,0000270,1,11,1115,111507,0605,060502,238,357,4,1428,952,476,200110
C,20011001,125342,1000707,00044C,0000488,1,11,1119,111905,1644,164402,358,655,1,655,358,297,200110
D,20011001,125342,1000730,00044D,0000338,1,14,1401,140105,1875,187504,331,657,1,657,331,326,200110
A,20011001,125342,1000776,00044A,0000463,1,14,1402,140211,0108,010800,333,596,1,596,333,263,200110
C,20011001,125342,1000707,00044C,0000120,1,11,1197,119701,1924,192404,327,511,1,511,327,184,200110
D,20011001,125342,1000730,00044D,0000523,1,13,1301,130139,0120,012000,392,821,1,821,392,429,200110
A,20011001,125342,1000776,00044A,0000338,1,14,1401,140105,1875,187504,331,431,1,431,331,100,200110
C,20011001,125342,1000707,00044C,0000463,1,14,1402,140211,0108,010800,333,864,1,864,333,531,200110
D,20011001,125342,1000730,00044D,0000120,1,11,1197,119701,1924,192404,327,426,1,426,327,99,200110
A,20011001,125342,1000776,00044A,0000464,1,11,1102,110297,0542,054202,500,782,3,2346,1500,846,200110
C,20011001,125342,1000707,00044C,0000338,1,14,1401,140105,1875,187504,331,431,1,431,331,100,200110
D,20011001,125342,1000730,00044D,0000566,1,13,1302,130205,0561,056105,524,833,1,833,524,309,200110
A,20011001,125342,1000776,00044A,0000120,1,11,1197,119701,1924,192404,327,426,1,426,327,99,200110
C,20011001,125342,1000707,00044C,0000566,1,13,1302,130205,0561,056105,524,682,1,682,524,158,200110
D,20011001,125342,1000730,00044D,0000463,1,14,1402,140211,0108,010800,333,585,3,1755,999,756,200110
A,20011001,125342,1000776,00044A,0000441,1,11,1110,111007,0713,071300,296,482,1,482,296,186,200110
C,20011001,125342,1000707,00044C,0000464,1,11,1102,110297,0542,054202,500,650,6,3900,3000,900,200110
D,20011001,125342,1000730,00044D,0000464,1,11,1102,110297,0542,054202,500,797,1,797,500,297,200110
A,20011001,125342,1000776,00044A,0000488,1,11,1119,111905,1644,164402,358,799,1,799,358,441,200110
C,20011001,125342,1000707,00044C,0000441,1,11,1110,111007,0713,071300,296,414,1,414,296,118,200110
D,20011001,125342,1000730,00044D,0000441,1,11,1110,111007,0713,071300,296,869,1,869,296,573,200110
A,20011001,125342,1000776,00044A,0000566,1,13,1302,130205,0561,056105,524,682,1,682,524,158,200110
C,20011001,125342,1000707,00044C,0000523,1,13,1301,130139,0120,012000,392,510,5,2550,1960,590,200110
D,20011001,133907,1000733,00127D,0000305,1,11,1101,110129,1765,176502,185,296,1,296,185,111,200110
A,20011001,133907,1000779,00127A,0000305,1,11,1101,110129,1765,176502,185,241,1,241,185,56,200110
C,20011001,133907,1000710,00127C,0000305,1,11,1101,110129,1765,176502,185,286,1,286,185,101,200110
D,20011001,133907,1000733,00127D,0000429,1,11,1119,111997,1117,111700,295,551,6,3306,1770,1536,200110
A,20011001,133907,1000779,00127A,0000429,1,11,1119,111997,1117,111700,295,384,1,384,295,89,200110
C,20011001,133907,1000710,00127C,0000460,1,14,1406,140661,0597,059700,101,132,1,132,101,31,200110
D,20011001,133907,1000733,00127D,0000456,1,11,1116,111697,1649,164901,447,840,1,840,447,393,200110
A,20011001,133907,1000779,00127A,0000456,1,11,1116,111697,1649,164901,447,582,1,582,447,135,200110
C,20011001,133907,1000710,00127C,0000456,1,11,1116,111697,1649,164901,447,582,1,582,447,135,200110
D,20011001,133907,1000733,00127D,0000460,1,14,1406,140661,0597,059700,101,223,1,223,101,122,200110
A,20011001,133907,1000779,00127A,0000460,1,14,1406,140661,0597,059700,101,197,6,1182,606,576,200110
C,20011001,133907,1000710,00127C,0000429,1,11,1119,111997,1117,111700,295,497,1,497,295,202,200110
D,20011001,141114,1000731,00061D,0000270,1,11,1115,111507,0605,060502,238,310,1,310,238,72,200110
A,20011001,141114,1000777,00061A,0000741,1,11,1103,110301,0034,003401,198,258,1,258,198,60,200110
C,20011001,141114,1000708,00061C,0000741,1,11,1103,110301,0034,003401,198,258,1,258,198,60,200110
D,20011001,141114,1000731,00061D,0000574,1,14,1401,140101,1632,163202,222,289,1,289,222,67,200110
A,20011001,141114,1000777,00061A,0000270,1,11,1115,111507,0605,060502,238,357,6,2142,1428,714,200110
C,20011001,141114,1000708,00061C,0000285,1,11,1110,111015,1516,151601,208,271,6,1626,1248,378,200110
D,20011001,141114,1000731,00061D,0000285,1,11,1110,111015,1516,151601,208,399,3,1197,624,573,200110
A,20011001,141114,1000777,00061A,0000574,1,14,1401,140101,1632,163202,222,289,2,578,444,134,200110
C,20011001,141114,1000708,00061C,0000467,1,11,1101,110115,0508,050800,173,316,6,1896,1038,858,200110
D,20011001,141114,1000731,00061D,0000467,1,11,1101,110115,0508,050800,173,274,1,274,173,101,200110
