shop,date,time,receipt,customer,product,CategoryCode1,CategoryCode2,CategoryCode4,CategoryCode6,manufacturer,brand,unitCost,unitPrice,quantity,amount,costAmount,profit,YearMonth
C,20010301,153736,1000047,00056C,0000378,1,13,1301,130139,0386,038605,222,289,1,289,222,67,20013
D,20010301,161600,1000049,00016D,0000477,1,11,1104,110411,1463,146303,575,748,1,748,575,173,20013
A,20010301,153736,1000052,00056A,0000328,1,14,1404,140405,1987,198701,191,249,5,1245,955,290,20013
B,20010301,161600,1000052,00016B,0000477,1,11,1104,110411,1463,146303,575,748,1,748,575,173,20013
C,20010301,153736,1000047,00056C,0000323,1,14,1406,140697,1714,171400,327,426,1,426,327,99,20013
D,20010301,153736,1000050,00056D,0000378,1,13,1301,130139,0386,038605,222,289,1,289,222,67,20013
A,20010301,153736,1000052,00056A,0000542,1,13,1301,130139,1893,189300,343,446,1,446,343,103,20013
B,20010301,161600,1000052,00016B,0000307,1,14,1403,140305,0788,078801,273,355,1,355,273,82,20013
C,20010301,153736,1000047,00056C,0000470,1,11,1119,111909,0062,006201,274,357,1,357,274,83,20013
D,20010301,153736,1000050,00056D,0000542,1,13,1301,130139,1893,189300,343,446,1,446,343,103,20013
A,20010301,153736,1000052,00056A,0000378,1,13,1301,130139,0386,038605,222,289,1,289,222,67,20013
B,20010301,153736,1000053,00056B,0000323,1,14,1406,140697,1714,171400,327,426,1,426,327,99,20013
C,20010301,153736,1000047,00056C,0000382,1,11,1119,111905,1336,133601,282,367,1,367,282,85,20013
D,20010301,153736,1000050,00056D,0000382,1,11,1119,111905,1336,133601,282,367,1,367,282,85,20013
A,20010301,153736,1000052,00056A,0000470,1,11,1119,111909,0062,006201,274,357,1,357,274,83,20013
B,20010301,153736,1000053,00056B,0000470,1,11,1119,111909,0062,006201,274,357,1,357,274,83,20013
C,20010301,153736,1000047,00056C,0000450,1,11,1121,112111,1405,140503,321,418,6,2508,1926,582,20013
D,20010301,153736,1000050,00056D,0000470,1,11,1119,111909,0062,006201,274,357,1,357,274,83,20013
A,20010301,153736,1000052,00056A,0000382,1,11,1119,111905,1336,133601,282,367,1,367,282,85,20013
B,20010301,153736,1000053,00056B,0000328,1,14,1404,140405,1987,198701,191,249,1,249,191,58,20013
C,20010301,153736,1000047,00056C,0000542,1,13,1301,130139,1893,189300,343,446,1,446,343,103,20013
D,20010301,161600,1000049,00016D,0000345,1,11,1121,112105,0188,018800,343,446,3,1338,1029,309,20013
A,20010301,153736,1000052,00056A,0000450,1,11,1121,112111,1405,140503,321,418,4,1672,1284,388,20013
B,20010301,161600,1000052,00016B,0000426,1,11,1106,110601,1763,176305,177,231,1,231,177,54,20013
C,20010301,161600,1000046,00016C,0000307,1,14,1403,140305,0788,078801,273,355,5,1775,1365,410,20013
D,20010301,161600,1000049,00016D,0000408,1,11,1112,111201,0690,069004,410,533,1,533,410,123,20013
A,20010301,153736,1000052,00056A,0000323,1,14,1406,140697,1714,171400,327,525,1,525,327,198,20013
B,20010301,153736,1000053,00056B,0000450,1,11,1121,112111,1405,140503,321,418,1,418,321,97,20013
C,20010301,161600,1000046,00016C,0000481,1,11,1103,110301,1896,189601,98,128,1,128,98,30,20013
D,20010301,161600,1000049,00016D,0000307,1,14,1403,140305,0788,078801,273,355,1,355,273,82,20013
A,20010301,161600,1000051,00016A,0000477,1,11,1104,110411,1463,146303,575,748,1,748,575,173,20013
B,20010301,161600,1000052,00016B,0000481,1,11,1103,110301,1896,189601,98,128,5,640,490,150,20013
C,20010301,161600,1000046,00016C,0000331,1,11,1102,110207,0193,019301,275,358,1,358,275,83,20013
D,20010301,161600,1000049,00016D,0000481,1,11,1103,110301,1896,189601,98,128,6,768,588,180,20013
A,20010301,161600,1000051,00016A,0000331,1,11,1102,110207,0193,019301,275,358,1,358,275,83,20013
B,20010301,161600,1000052,00016B,0000408,1,11,1112,111201,0690,069004,410,533,1,533,410,123,20013
C,20010301,161600,1000046,00016C,0000408,1,11,1112,111201,0690,069004,410,533,1,533,410,123,20013
D,20010301,161600,1000049,00016D,0000331,1,11,1102,110207,0193,019301,275,358,1,358,275,83,20013
A,20010301,161600,1000051,00016A,0000481,1,11,1103,110301,1896,189601,98,128,1,128,98,30,20013
B,20010301,161600,1000052,00016B,0000331,1,11,1102,110207,0193,019301,275,358,6,2148,1650,498,20013
C,20010301,161600,1000046,00016C,0000345,1,11,1121,112105,0188,018800,343,446,1,446,343,103,20013
D,20010301,153736,1000050,00056D,0000450,1,11,1121,112111,1405,140503,321,418,1,418,321,97,20013
A,20010301,161600,1000051,00016A,0000345,1,11,1121,112105,0188,018800,343,547,1,547,343,204,20013
B,20010301,153736,1000053,00056B,0000542,1,13,1301,130139,1893,189300,343,446,1,446,343,103,20013
C,20010301,161600,1000046,00016C,0000477,1,11,1104,110411,1463,146303,575,748,1,748,575,173,20013
D,20010301,161600,1000049,00016D,0000426,1,11,1106,110601,1763,176305,177,231,1,231,177,54,20013
A,20010301,161600,1000051,00016A,0000408,1,11,1112,111201,0690,069004,410,533,1,533,410,123,20013
B,20010301,161600,1000052,00016B,0000345,1,11,1121,112105,0188,018800,343,446,1,446,343,103,20013
C,20010301,161600,1000046,00016C,0000544,1,14,1404,140403,1717,171700,438,570,6,3420,2628,792,20013
D,20010301,153736,1000050,00056D,0000323,1,14,1406,140697,1714,171400,327,606,4,2424,1308,1116,20013
A,20010301,161600,1000051,00016A,0000307,1,14,1403,140305,0788,078801,273,355,4,1420,1092,328,20013
B,20010301,161600,1000052,00016B,0000544,1,14,1404,140403,1717,171700,438,570,1,570,438,132,20013
C,20010301,161600,1000046,00016C,0000426,1,11,1106,110601,1763,176305,177,268,1,268,177,91,20013
D,20010301,153736,1000050,00056D,0000328,1,14,1404,140405,1987,198701,191,249,1,249,191,58,20013
A,20010301,161600,1000051,00016A,0000426,1,11,1106,110601,1763,176305,177,282,1,282,177,105,20013
B,20010301,153736,1000053,00056B,0000382,1,11,1119,111905,1336,133601,282,367,1,367,282,85,20013
C,20010301,153736,1000047,00056C,0000328,1,14,1404,140405,1987,198701,191,249,6,1494,1146,348,20013
D,20010301,161600,1000049,00016D,0000544,1,14,1404,140403,1717,171700,438,794,1,794,438,356,20013
