CategoryCode6,Category6
110101,Soy_Sauce
110103,Sugar
110105,Low_Calorie_Sweetener
110107,Miso
110109,Table_Salt
110111,Vinegar
110113,Vinegar_with_Sake(Japanese_Style)
110115,Mirin_Seasoning
110117,Cooking_Japanese_Wine
110119,Cooking_Wine
110121,Flavor_Seasoning
110123,Broth
110125,Single_Compound_Seasoning
110129,Sauce
110131,Ketchup
110133,Barbecue_Meat_Sauce
110135,Other_Sauce
110137,Mayonnaises
110139,Dressing
110141,Seasonings(Other_Than_Mustard_Horseradish)
110142,Mustard_Horseradish
110143,Bonoito
110149,Chinese_Seasoning
110197,Other_Seasoning
110203,Sesame_Oil
110205,Tempura_Oil
110207,Animal_Oil
110209,Olive_Oil
110211,Fragrant_Oil
110297,Other_Cooking_Oil
110301,Peanuts_Chocolate_Spread
110303,Jam_Marmalade
110397,Other_Spreads
110401,Butter
110403,Margarine_Fat
110405,Cheese
110407,Instant_Milk_Powder
110409,Skim_Milk
110411,Condensed_Milk
110413,Fresh_Cream
110415,Whipped_Cream
110497,Other_Diary_Products
110501,Instant_Curry
110502,Raw_Curry
110503,Instant_Stew
110504,Raw_Stew
110505,Sauce_Mixes
110507,Chinese_Seasoning_Powder
110509,Rice_Seasoning_Powder_Mix
110511,Boiled_Rice_Additives
110513,Range_Use
110515,Sprinking
110517,Salted_Vegetables_Seasoning
110597,Other_Seasoning
110601,Cooking_Soup
110603,Instant_Soup
110605,Instant_Miso_Soup
110697,Other_Soup
110701,Frozen_Seafood
110703,Frozen_Meat
110705,Frozen_Vegetables
110707,Frozen_Food
110721,Pizza_Gratins
110723,Frozen_Noodles
110725,Frozen_Rice_Topping
110791,Ice
110797,Other_Frozen_Food
110801,Canned_Seafood(Except_Tuna)
110802,Canned_Tuna
110803,Canned_Vegetable
110805,Canned_Fruits_Dessert
110807,Canned_Meat
110897,Other_Canned_Food
111001,Wheat_Flour
111003,Tempur_Flour
111005,Bread_Crumbs
111007,Chinese_Frying_Flour
111009,Chestnut_Flour
111011,Kinako
111015,Rice_Flour
111097,Other_Flour
111101,Pre_Mix
111105,Honey
111107,Malt_Syrup
111109,Syrup
111111,Fruit_Peel_Extract
111113,Dessert_Ingredients
111197,Other_Home_Making_Ingredients
111201,Instant_Sack_Noodle
111203,Cup_Noodle
111205,Dry_Noodle
111207,Raw_Boiled_Noodle
111209,Spaghetti
111211,Macaroni
111297,Other_Noodle
111301,Bread
111303,Sweet_Bread
111305,Bread_For_Cooking
111307,Cereals
111397,Other_Bread
111401,Rice
111405,Package_Rice_Cake
111497,Other_Grains
111501,Meat_Ham
111503,Meat_Sausage
111505,Fish_Ham
111507,Fish_Sausage
111509,Barbecue_Pork
111511,Beacon
111597,Other_Processed_Meat
111601,Boiled_Fish_Paste
111603,Fish_Cake_Roll
111605,Hanpan
111607,Fried_Foods
111697,Other_Processed_Food
111701,Pickle
111703,Boiled_Soy_Food
111705,Rice_Bran_Ingredients_For_Pickle
111797,Other_Pickle_Soy_Food
111801,Tofu
111803,Arum_Root
111805,Fried_Tofu
111807,Natto
111897,Other_Water_Based_Food
111901,Salad
111903,Boiled_Beans
111905,Japanese_Delicatessen
111907,Chinese_Delicatessen
111909,Western_Delicatessen
111997,Other_Delicatessen
112001,Sesame
112003,Dried_Shiitake
112005,Beans
112097,Other_Dried_Agricultrual_Produce
112101,Nori
112105,Wakame
112107,Kelp
112109,Other_Seaweed
112111,Bonito
112113,Dried_Fish
112197,Other_Processed_Seafood
119701,Processed_Seafood
119703,Processed_Seafood
119705,Processed_Seafood
119797,Other_Processed_Food
120197,Other_Seafood
120297,Other_Meat
120397,Other_Produce
129797,Other_Fresh_Food
130121,Candies_Caramel
130123,Chocolate
130125,Toy
130127,Biscuit_Cookie
130129,Rice_Snack
130131,Snack
130133,Bean_Snack
130135,Toy_Candy
130137,Kogarasi
130139,Semi_Kogarasi
130141,Grilled_Candy
130143,Candy_Set
130198,Other_Candy
130203,Desserts
130205,Yogurt
130297,Other_Desserts
130301,Agricultural_Chinmi
130303,Seafood_Chinmi
130305,Meat_Chinmi
130397,Other_Chinmi
130401,Premium_Ice
130403,Family_Ice
130497,Other_Ice
139797,Other_Candy
140101,Instant_Coffee
140103,Regular_Coffee
140105,Cocoa
140107,Black_Tea
140109,Japanese_Tea
140111,Barely_Tea
140113,Chinese_Tea
140115,Other_Tea
140197,Other_Drinks
140201,Pure_Juice
140203,Juice
140205,Juice_With_Pulp
140209,Vegetables_Juice
140211,Tomato_Juice
140297,Other_Fruit_Drinks
140301,Cola
140305,Carbonic_Flavor
140307,Coffee_Drink
140309,Cocoa_Drink
140311,Black_Tea_Drink
140313,Japanese_Barley_Tea
140315,Chinese_Tea
140316,Other_Tea
140317,Water
140321,Carbonated_Water
140323,Sport_Drink
140325,Nutrition_Drink
140327,Vinegar_Drink
140397,Other_Cooling_Drink
140401,Milk
140403,Soy_Milk
140405,Yogurt_Beverage
140407,Yogurt_Bacillus_Beverage
140497,Other_Yogurt_Drink
140601,Sake
140611,Synthetic_Sake
140621,Rice_Wine_TypeA
140623,Rice_Wine_TypeB
140631,Mirin
140641,Beer
140651,Fruit_Wine
140653,Sweet_Fruit_Wine
140661,Whisky
140663,Brandy
140671,Spirits
140681,Liquors
140691,Sparkling_Wine
140693,Powder_Liquor
140695,Other_Cocktails
140697,Other_Alcoholic_Drinks
140701,Alcoholic_Beverage
140797,General_Alcoholic_Beverage
149797,Other_Drinks_Wine
190101,Baby_Milk
190103,Baby_Food
190197,Other_Child_Milk_Products
190201,Health_Food
190203,Pregnant_Women_Food
190297,Other_Health_Product
190301,Food_Gift
190397,Other_Food_Gift
199701,Tobacco
199797,Other_Food
210101,Tooth_Polishing
210103,Toothbrush
210105,Mouthwash
210107,Denture_Cleaners
210197,Other_Oral_Care_Product
210201,Toilet_Soap
210203,Bath_Salts
210205,Body_Shampoo
210297,Other_Soap
210301,Facial_tissue
210303,Paper_Towel
210305,Wet_Tissue
210307,Toilet_Paper
210309,Adult_Paper
210311,Floral_Print_Tissue_Paper
210313,Sanitary_Product
210397,Other_Hygenic_Paper_Supplies
210401,Qtips
210403,Paper_Underwear
210405,Contraceptives
210407,Bandages_Gauze
210409,Supporters
210411,Masks_Eye_Cover
210413,Abosrbent_Cotton
210415,Adhesive_Tape
210417,Scissors_Pincette
210419,Thermometer
210421,Hemadynamometer
210423,Health_Meter
210425,Contact_Lens_Solution
210427,Medical_Magnetic_Products
210497,Other_Hygienic_Medical_Supplies
210501,Child_Use_Paper
210503,Skin_Care
210505,Nursing_Supplies
210597,Other_Childcare_Supplies
210601,Heavy_Duty_Laundry_Detergent
210603,Light_Laundry_Detergent
210605,Bleach
210607,Softener
210609,Finish_Medicine
210611,Dyes
210613,Laundry_Soap
210697,Other_Farbic_Chemicals
210701,Home_Detergent
210703,Toilet_Detergent
210705,Bus_Detergent
210707,Glass_Detergent
210709,Carpet_Cleaner
210711,Pipe_Cleaner
210713,Mold_Cleaner
210715,Furniture_Cleaner
210717,Scuttle_Fan_Range_Cleaner
210719,Disposable_Paper_Cleaner
210797,Other_Homeuse_Cleaners
210801,Kitchen_Cleaner
210803,Cleanser
210805,Kitchen_Bleach
210807,Oil_Processing_Detergent
210897,Other_Kitchen_Cleaner
210901,Aromatic_Cleaner
210903,Air_Freshner
210905,Aromatic_Toilet_Cleaner
210907,Deodorant
210909,Moisture_Removal
210997,Other_Living_Envirnoment_Chemicals
211001,Floor_Wax
211003,Shoe_Cream
211097,Other_Household_Products
211101,Pestcide
211103,Insecticide
211105,Mosquito_Incense_Stick
211107,Mosquito_Mat
211109,Electronic_Mosquito_Remover
211111,Cockroach_Trap
211197,Other_Pestcides
219701,Water_Repellant
219703,Stain_Remover_Benzine
219705,Bath_Water_Cleaner
219707,Static_Remover
219711,Eyewear_Cleaner
219713,Disposal_Kairo
219797,Other_Daily_Necessities
220101,Ampuled_Liquid_Medicine
220103,Mini_Ampuled_Medicine
220105,Nutritious_Cardiacs
220107,Strong_Liver_Medicine
220109,Calcium
220111,Women_Vitamins
220113,Alcoholic_Medicine
220115,Vitamin_B1
220117,Vitamin_C
220119,Vitamin_E
220121,Multi_Vitamin
220123,Other_Vitamin
220197,Other_Nutrition_Supplement
220201,Cold_Medicine
220203,Nasitis_Medicine
220205,Cough_Medicine
220207,Troche_Medicine
220209,Gargle
220211,Pain_Reliever
220213,Dizzy_Medicine
220215,Hypnotic_Tranquilizer
220217,Sleepiness_Inhibitor
220219,Allergy
220297,Other_Asthma_Neurotic_Medicine
220301,Digestion
220303,Diarrhea
220305,Antacid
220307,Enemas
220309,Periodontoclasia_Remedy_Medicine
220311,Hemorrhoids_Medicine
220313,Anthelminthic
220397,Other_Digestion_Medicine
220401,Eye_Drops
220403,Skin_Remedy
220405,Skin_Sterilization
220407,Athletes_Foot_Medicine
220409,Poultice_Medicine
220411,Anesthetic_External_Use
220413,Hair_Agent
220415,Skin_Disease_Internal_Use
220497,Other_Skin_Senses_Medicine
220501,Chinese_Herb_Medicine
229701,Cardiac
229703,Other_Circulatory_Medicine
229705,Child_Medicine
229707,Contraceptive
229709,Diagnostic_Medicine
229711,Insecticide_Medical
229713,Prep_Medicine
229715,Professional_Medicine
229797,Other_Medical_Supplies
230101,Make_Up_Remover
230103,Skin_Lotion
