shop,date,time,receipt,customer,product,CategoryCode1,CategoryCode2,CategoryCode4,CategoryCode6,manufacturer,brand,unitCost,unitPrice,quantity,amount,costAmount,profit,YearMonth
C,20010801,094135,1000481,00118C,0000093,1,13,1301,130131,1844,184401,461,600,3,1800,1383,417,20018
B,20010801,094135,1000586,00118B,0000211,1,14,1404,140497,1634,163400,322,419,1,419,322,97,20018
D,20010801,094135,1000500,00118D,0000093,1,13,1301,130131,1844,184401,461,600,5,3000,2305,695,20018
C,20010801,094135,1000481,00118C,0000379,1,12,1201,120197,1725,172506,243,316,1,316,243,73,20018
B,20010801,094135,1000586,00118B,0000505,1,11,1108,110803,0085,008500,194,315,5,1575,970,605,20018
D,20010801,094135,1000500,00118D,0000505,1,11,1108,110803,0085,008500,194,253,1,253,194,59,20018
C,20010801,094135,1000481,00118C,0000211,1,14,1404,140497,1634,163400,322,419,5,2095,1610,485,20018
B,20010801,094135,1000586,00118B,0000334,1,11,1107,110797,1480,148000,299,534,1,534,299,235,20018
D,20010801,094135,1000500,00118D,0000211,1,14,1404,140497,1634,163400,322,419,1,419,322,97,20018
C,20010801,094135,1000481,00118C,0000505,1,11,1108,110803,0085,008500,194,296,3,888,582,306,20018
B,20010801,094135,1000586,00118B,0000526,1,14,1403,140317,1788,178802,346,450,1,450,346,104,20018
D,20010801,094135,1000500,00118D,0000526,1,14,1403,140317,1788,178802,346,562,1,562,346,216,20018
C,20010801,094135,1000481,00118C,0000334,1,11,1107,110797,1480,148000,299,431,1,431,299,132,20018
B,20010801,094135,1000586,00118B,0000379,1,12,1201,120197,1725,172506,243,316,1,316,243,73,20018
D,20010801,094135,1000500,00118D,0000379,1,12,1201,120197,1725,172506,243,439,7,3073,1701,1372,20018
C,20010801,094135,1000481,00118C,0000526,1,14,1403,140317,1788,178802,346,509,1,509,346,163,20018
B,20010801,094135,1000586,00118B,0000093,1,13,1301,130131,1844,184401,461,600,1,600,461,139,20018
D,20010801,094135,1000500,00118D,0000334,1,11,1107,110797,1480,148000,299,389,1,389,299,90,20018
C,20010801,111554,1000478,00080C,0000284,1,13,1301,130133,1056,105604,132,172,1,172,132,40,20018
B,20010801,103115,1000588,00274B,0000641,1,14,1401,140105,0760,076001,180,234,5,1170,900,270,20018
D,20010801,111554,1000497,00080D,0000559,1,11,1105,110511,1624,162401,402,523,1,523,402,121,20018
C,20010801,111554,1000478,00080C,0000565,1,11,1116,111601,1327,132700,249,324,1,324,249,75,20018
B,20010801,103115,1000588,00274B,0000423,1,11,1107,110791,0107,010703,290,516,1,516,290,226,20018
D,20010801,111554,1000497,00080D,0000350,1,11,1102,110207,1263,126302,230,299,1,299,230,69,20018
C,20010801,111554,1000478,00080C,0000266,1,11,1104,110407,1862,186200,334,435,1,435,334,101,20018
B,20010801,103115,1000588,00274B,0000239,1,11,1104,110497,0781,078100,225,413,6,2478,1350,1128,20018
D,20010801,111554,1000497,00080D,0000521,1,11,1103,110303,1080,108004,254,331,6,1986,1524,462,20018
C,20010801,111554,1000478,00080C,0000521,1,11,1103,110303,1080,108004,254,342,4,1368,1016,352,20018
B,20010801,103115,1000588,00274B,0000179,1,14,1403,140309,1551,155101,351,522,1,522,351,171,20018
D,20010801,111554,1000497,00080D,0000339,1,11,1105,110501,1285,128501,430,559,1,559,430,129,20018
C,20010801,111554,1000478,00080C,0000339,1,11,1105,110501,1285,128501,430,864,1,864,430,434,20018
B,20010801,111554,1000583,00080B,0000565,1,11,1116,111601,1327,132700,249,324,1,324,249,75,20018
D,20010801,111554,1000497,00080D,0000565,1,11,1116,111601,1327,132700,249,324,1,324,249,75,20018
