shop,date,time,receipt,customer,product,CategoryCode1,CategoryCode2,CategoryCode4,CategoryCode6,manufacturer,brand,unitCost,unitPrice,quantity,amount,costAmount,profit,YearMonth
C,20011101,105511,1000814,00180C,0000411,1,14,1406,140681,1053,105301,383,784,1,784,383,401,200111
B,20011101,105511,1000991,00180B,0000604,1,11,1121,112107,1770,177000,365,475,1,475,365,110,200111
D,20011101,105511,1000840,00180D,0000411,1,14,1406,140681,1053,105301,383,627,1,627,383,244,200111
C,20011101,105511,1000814,00180C,0000341,1,11,1110,111007,1334,133400,122,183,1,183,122,61,200111
B,20011101,105511,1000991,00180B,0000448,1,11,1120,112005,1298,129803,313,567,6,3402,1878,1524,200111
D,20011101,105511,1000840,00180D,0000356,1,11,1108,110802,0751,075103,181,551,1,551,181,370,200111
C,20011101,105511,1000814,00180C,0000604,1,11,1121,112107,1770,177000,365,475,1,475,365,110,200111
B,20011101,105511,1000991,00180B,0000288,1,11,1108,110807,1001,100100,461,600,1,600,461,139,200111
D,20011101,105511,1000840,00180D,0000401,1,11,1121,112105,1216,121600,265,345,1,345,265,80,200111
C,20011101,105511,1000814,00180C,0000288,1,11,1108,110807,1001,100100,461,600,1,600,461,139,200111
B,20011101,105511,1000991,00180B,0000414,1,11,1117,111701,1705,170501,310,890,1,890,310,580,200111
D,20011101,105511,1000840,00180D,0000288,1,11,1108,110807,1001,100100,461,703,1,703,461,242,200111
C,20011101,105511,1000814,00180C,0000414,1,11,1117,111701,1705,170501,310,919,1,919,310,609,200111
B,20011101,105511,1000991,00180B,0000341,1,11,1110,111007,1334,133400,122,314,6,1884,732,1152,200111
D,20011101,105511,1000840,00180D,0000448,1,11,1120,112005,1298,129803,313,407,1,407,313,94,200111
C,20011101,105511,1000814,00180C,0000356,1,11,1108,110802,0751,075103,181,369,4,1476,724,752,200111
B,20011101,105511,1000991,00180B,0000411,1,14,1406,140681,1053,105301,383,985,1,985,383,602,200111
D,20011101,105511,1000840,00180D,0000341,1,11,1110,111007,1334,133400,122,159,3,477,366,111,200111
C,20011101,105511,1000814,00180C,0000401,1,11,1121,112105,1216,121600,265,420,4,1680,1060,620,200111
B,20011101,105511,1000991,00180B,0000356,1,11,1108,110802,0751,075103,181,346,1,346,181,165,200111
D,20011101,105511,1000840,00180D,0000604,1,11,1121,112107,1770,177000,365,475,1,475,365,110,200111
C,20011101,105511,1000814,00180C,0000448,1,11,1120,112005,1298,129803,313,407,1,407,313,94,200111
