command,data_set,real,user,sys,user_sys
msortf,100_2,4.542,0.619,0.232,0.851
xtsort,100_2,2.107,0.992,0.127,1.119
sort,100_2,26.066,25.971,0.072,26.043
msortf,100_10,1.585,1.369,0.215,1.584
xtsort,100_10,1.563,0.984,0.123,1.107
sort,100_10,25.432,25.359,0.072,25.431
msortf,100_100,1.396,1.896,0.209,2.105
xtsort,100_100,1.263,0.957,0.111,1.068
sort,100_100,24.675,24.601,0.073,24.674
msortf,100_1000,1.347,2.104,0.204,2.308
xtsort,100_1000,1.123,0.938,0.108,1.046
sort,100_1000,23.928,23.858,0.069,23.927
msortf,100_10000,1.165,2.22,0.189,2.409
xtsort,100_10000,1.101,0.928,0.107,1.035
sort,100_10000,23.266,23.195,0.07,23.265
msortf,100_rand,1.445,1.973,0.219,2.192
xtsort,100_rand,1.108,0.937,0.109,1.046
sort,100_rand,21.175,21.103,0.07,21.173
msortf,100_rand_asc,1.335,0.506,0.202,0.708
xtsort,100_rand_asc,1.112,0.632,0.116,0.748
sort,100_rand_asc,10.804,10.738,0.065,10.803
msortf,100_rand_dec,1.014,0.508,0.219,0.727
xtsort,100_rand_dec,1.138,0.805,0.109,0.914
sort,100_rand_dec,11.239,11.171,0.067,11.238
msortf,100_2,1.645,0.606,0.223,0.829
xtsort,100_2,1.069,0.95,0.108,1.058
sort,100_2,25.994,25.922,0.072,25.994
msortf,100_10,1.242,1.363,0.201,1.564
xtsort,100_10,2.087,0.961,0.121,1.082
sort,100_10,25.509,25.438,0.07,25.508
msortf,100_100,1.312,1.86,0.195,2.055
xtsort,100_100,1.204,0.946,0.108,1.054
sort,100_100,24.669,24.6,0.068,24.668
msortf,100_1000,1.524,2.091,0.192,2.283
xtsort,100_1000,1.335,0.946,0.109,1.055
sort,100_1000,23.909,23.836,0.072,23.908
msortf,100_10000,1.584,2.216,0.192,2.408
xtsort,100_10000,1.248,0.94,0.107,1.047
sort,100_10000,23.269,23.198,0.07,23.268
msortf,100_rand,1.335,1.976,0.194,2.17
xtsort,100_rand,1.255,0.954,0.108,1.062
sort,100_rand,21.153,21.081,0.071,21.152
msortf,100_rand_asc,1.127,0.5,0.192,0.692
xtsort,100_rand_asc,1.289,0.614,0.111,0.725
sort,100_rand_asc,10.816,10.752,0.064,10.816
msortf,100_rand_dec,1.155,0.525,0.199,0.724
xtsort,100_rand_dec,1.124,0.803,0.107,0.91
sort,100_rand_dec,11.256,11.187,0.068,11.255
msortf,100_2,1.235,0.617,0.2,0.817
xtsort,100_2,1.269,0.967,0.108,1.075
sort,100_2,26.068,25.995,0.072,26.067
msortf,100_10,1.262,1.365,0.193,1.558
xtsort,100_10,1.294,0.967,0.11,1.077
sort,100_10,25.405,25.333,0.071,25.404
msortf,100_100,1.358,1.919,0.191,2.11
xtsort,100_100,1.257,0.945,0.107,1.052
sort,100_100,24.708,24.639,0.068,24.707
msortf,100_1000,1.236,2.104,0.187,2.291
xtsort,100_1000,1.168,0.946,0.108,1.054
sort,100_1000,23.959,23.887,0.072,23.959
msortf,100_10000,1.276,2.229,0.188,2.417
xtsort,100_10000,1.194,0.954,0.109,1.063
sort,100_10000,23.261,23.188,0.072,23.26
msortf,100_rand,2.071,1.977,0.202,2.179
xtsort,100_rand,1.945,0.966,0.119,1.085
sort,100_rand,21.201,21.131,0.069,21.2
msortf,100_rand_asc,0.934,0.5,0.192,0.692
xtsort,100_rand_asc,1.203,0.608,0.107,0.715
sort,100_rand_asc,10.796,10.729,0.066,10.795
msortf,100_rand_dec,1.319,0.519,0.189,0.708
xtsort,100_rand_dec,1.183,0.809,0.107,0.916
sort,100_rand_dec,11.25,11.184,0.066,11.25
msortf,100_2,1.021,0.612,0.192,0.804
xtsort,100_2,1.179,0.971,0.109,1.08
sort,100_2,26.027,25.956,0.07,26.026
msortf,100_10,1.156,1.364,0.194,1.558
xtsort,100_10,1.294,0.96,0.109,1.069
sort,100_10,25.448,25.376,0.071,25.447
msortf,100_100,1.383,1.906,0.195,2.101
xtsort,100_100,1.619,0.968,0.111,1.079
sort,100_100,24.661,24.586,0.074,24.66
msortf,100_1000,1.314,2.11,0.191,2.301
xtsort,100_1000,1.273,0.962,0.108,1.07
sort,100_1000,23.975,23.901,0.073,23.974
msortf,100_10000,1.265,2.224,0.187,2.411
xtsort,100_10000,1.256,0.951,0.109,1.06
sort,100_10000,23.28,23.208,0.071,23.279
msortf,100_rand,1.315,1.97,0.195,2.165
xtsort,100_rand,1.29,0.956,0.11,1.066
sort,100_rand,21.217,21.149,0.067,21.216
msortf,100_rand_asc,1.315,0.51,0.198,0.708
xtsort,100_rand_asc,1.218,0.616,0.11,0.726
sort,100_rand_asc,10.796,10.728,0.067,10.795
msortf,100_rand_dec,1.326,0.52,0.196,0.716
xtsort,100_rand_dec,1.236,0.8,0.106,0.906
sort,100_rand_dec,11.256,11.191,0.064,11.255
msortf,100_2,1.355,0.619,0.194,0.813
xtsort,100_2,1.338,0.994,0.111,1.105
sort,100_2,26.095,26.019,0.074,26.093
msortf,100_10,1.134,1.371,0.191,1.562
xtsort,100_10,6.991,1.032,0.158,1.19
sort,100_10,25.489,25.415,0.073,25.488
msortf,100_100,1.405,1.901,0.202,2.103
xtsort,100_100,1.257,0.944,0.108,1.052
sort,100_100,24.702,24.628,0.073,24.701
msortf,100_1000,1.312,2.098,0.197,2.295
xtsort,100_1000,1.269,0.951,0.108,1.059
sort,100_1000,23.967,23.893,0.073,23.966
msortf,100_10000,1.373,2.226,0.196,2.422
xtsort,100_10000,1.308,0.952,0.108,1.06
sort,100_10000,23.28,23.208,0.071,23.279
msortf,100_rand,1.645,1.98,0.19,2.17
xtsort,100_rand,1.244,0.933,0.107,1.04
sort,100_rand,21.187,21.115,0.071,21.186
msortf,100_rand_asc,1.34,0.514,0.206,0.72
xtsort,100_rand_asc,1.266,0.612,0.109,0.721
sort,100_rand_asc,10.824,10.757,0.066,10.823
msortf,100_rand_dec,1.098,0.525,0.193,0.718
xtsort,100_rand_dec,1.208,0.799,0.106,0.905
sort,100_rand_dec,11.242,11.174,0.067,11.241
msortf,100_2,1.142,0.615,0.189,0.804
