日付,数量合計,金額合計
20010131,14,1806
20010201,8,1024
20010203,13,2236
20010205,4,512
20010208,4,404
20010212,6,1032
20010216,26,4243
20010217,6,852
20010223,10,1253
20010227,25,2929
20010301,13,1664
20010303,8,1063
20010305,18,1818
20010306,24,4428
20010308,12,2340
20010309,1,193
20010312,40,6209
20010313,7,1169
20010314,1,119
20010315,9,1611
20010317,11,1232
20010318,38,6337
20010321,11,1435
20010322,6,988
20010323,3,513
20010324,4,684
20010325,4,620
20010326,4,364
20010327,18,2458
20010330,16,2034
20010402,4,528
20010404,12,2100
20010407,12,1638
20010409,28,3971
20010410,4,681
20010415,27,4150
20010417,11,1553
20010418,18,2708
20010420,25,4101
20010422,10,1428
20010423,36,5196
20010424,12,1428
20010427,7,1181
20010430,17,3130
20010501,4,728
20010502,43,7213
20010507,8,1144
20010509,27,2715
20010514,15,2354
20010515,10,1710
20010516,4,681
20010518,33,6136
20010519,11,1667
20010520,32,4914
20010521,42,7292
20010522,4,496
20010523,19,3276
20010525,32,4697
20010526,1,112
20010529,10,1838
20010530,9,1132
20010531,8,1092
20010601,38,6535
20010603,8,1462
20010604,9,1455
20010606,12,2388
20010607,4,554
20010609,17,2453
20010611,4,570
20010612,11,1634
20010614,13,2030
20010616,37,5041
20010617,4,516
20010618,24,3881
20010619,34,4901
20010620,12,2097
20010621,8,889
20010622,22,3378
20010625,7,1357
20010626,11,1960
20010629,11,1992
20010701,8,1311
20010702,11,1468
20010707,13,2534
20010710,3,545
20010712,10,1356
20010713,10,1178
20010714,27,3391
20010715,19,3105
20010716,27,4583
20010718,12,1555
20010720,30,4378
20010721,2,386
20010723,41,6278
20010725,7,1199
20010726,7,1222
20010727,7,1018
20010730,8,825
20010731,13,1738
20010801,12,2182
20010802,6,1139
20010803,14,2232
20010804,8,1376
20010805,3,526
20010806,7,1127
20010807,3,501
20010808,11,1501
20010809,7,1274
20010811,4,736
20010812,19,3376
20010813,3,437
20010816,9,1686
20010818,8,1475
20010819,8,1173
20010821,4,636
20010822,22,3588
20010824,7,857
20010826,24,3998
20010827,5,965
20010828,15,2604
20010830,7,1134
20010902,3,408
20010903,9,1537
20010904,8,1251
20010906,19,3130
20010907,15,2464
20010908,3,408
20010909,15,2299
20010910,29,4389
20010911,24,3756
20010912,8,1525
20010913,6,1107
20010916,12,2055
20010917,4,796
20010918,9,1536
20010919,18,2112
20010920,18,2889
20010922,3,597
20010923,21,3628
20010925,10,1438
20010928,3,540
20011001,7,1314
20011003,19,3279
20011004,7,1274
20011005,17,2492
20011006,1,180
20011008,10,1701
20011010,27,5012
20011012,6,885
20011013,3,408
20011015,3,546
20011016,27,4481
20011021,13,2587
20011022,7,1125
20011023,15,2754
20011024,18,2700
20011025,3,585
20011026,1,199
20011027,17,2929
20011029,6,1190
20011031,7,853
20011101,5,819
20011105,15,1930
20011107,4,734
20011108,20,2890
20011109,12,1762
20011111,3,435
20011112,13,2247
20011113,19,2975
20011115,6,1088
20011117,29,4310
20011120,11,1612
20011121,6,1088
20011126,15,2113
20011128,12,2052
20011129,8,1160
20011130,2,343
20011201,3,408
20011202,17,2683
20011204,7,1365
20011205,15,2574
20011207,17,2272
20011208,25,4070
20011211,8,1592
20011213,9,1238
20011214,13,1694
20011215,12,1721
20011216,3,408
20011218,10,1497
20011219,11,1595
20011220,2,367
20011221,4,404
20011222,23,3575
20011224,14,1871
20011225,12,1550
20011226,4,523
20011228,4,606
20011229,8,1533
