中分類,メーカー,数量,金額,数量シェア,金額シェア
11,0002,36,9990,0.001069614048,0.0006518657684
11,0011,9,1980,0.0002674035119,0.0001291986208
11,0013,318,172075,0.00944825742,0.01122820842
11,0018,68,23979,0.00202038209,0.0015646736
11,0019,25,13051,0.0007427875331,0.0008516016159
11,0023,174,98112,0.00516980123,0.006401987414
11,0034,21,5418,0.0006239415278,0.0003535344077
11,0038,66,44836,0.001960959087,0.00292563099
11,0039,11,5225,0.0003268265145,0.0003409408048
11,0048,197,79010,0.00585316576,0.005155546983
11,0052,114,38652,0.003387111151,0.002522113682
11,0054,10,4962,0.0002971150132,0.0003237795738
11,0061,130,55673,0.003862495172,0.003632765057
11,0062,135,61755,0.004011052678,0.004029626679
11,0064,16,3456,0.0004753840212,0.0002255103199
11,0068,145,98977,0.004308167692,0.006458430246
11,0076,15,5656,0.0004456725198,0.0003690643429
11,0079,76,12198,0.0022580741,0.0007959418061
11,0085,114,33129,0.003387111151,0.002161727832
11,0090,17,6103,0.0005050955225,0.0003982319103
11,0093,8,3896,0.0002376920106,0.0002542211245
11,0104,165,57837,0.004902397718,0.003773970015
11,0107,191,97441,0.005674896753,0.006358203437
11,0109,152,48986,0.004516148201,0.003196426079
11,0110,12,4440,0.0003565380159,0.0002897181193
11,0112,106,21510,0.00314941914,0.001403566835
11,0115,39,16586,0.001158748552,0.00108226683
11,0119,15,4395,0.0004456725198,0.000286781787
11,0121,64,26914,0.001901536085,0.001756187717
11,0126,122,39178,0.003624803161,0.002556436143
11,0134,75,21820,0.002228362599,0.001423794901
11,0136,89,35982,0.002644323618,0.002347891299
11,0138,123,53655,0.003654514663,0.003501086867
11,0140,131,60379,0.003892206673,0.003939840163
11,0143,88,11864,0.002614612116,0.0007741476953
11,0147,39,16338,0.001158748552,0.001066084377
11,0151,188,96141,0.005585762249,0.00627337606
11,0152,24,12008,0.0007130760317,0.0007835439586
11,0155,13,4420,0.0003862495172,0.0002884130827
11,0158,105,27813,0.003119707639,0.001814849111
11,0171,210,82809,0.006239415278,0.00540343868
11,0178,80,32247,0.002376920106,0.002104175719
11,0179,37,5895,0.001099325549,0.00038465953
11,0188,230,157569,0.006833645304,0.01028166539
11,0189,142,71312,0.004219033188,0.004653238406
11,0191,261,124641,0.007754701845,0.008133053177
11,0192,116,68590,0.003446534153,0.004475622928
11,0193,137,56234,0.004070475681,0.003669371333
11,0208,69,29161,0.002050093591,0.001902808576
11,0218,1,240,2.971150132e-05,1.566043888e-05
11,0220,33,15075,0.0009804795436,0.0009836713171
11,0226,27,9747,0.0008022105357,0.000636009574
11,0227,92,53598,0.002733458122,0.003497367513
11,0235,71,25020,0.002109516594,0.001632600753
